,Crime Category,Crime Notes
476,Criminal Damage,victim is hackney taxi driver who collects both male suspects from city centre taking them to locus . suspects state they do not have enough money for fare and one of mobile phones as payment security . on arrival at locus there is a dispute over the fare and argument ensues during which suspects set off victim∂®s inside vehicle the . one male suspect makes off without payment of fare and second suspect takes of victim∂®s vehicle and keys until police arrive .
477,Violent Crime,"victim is a taxi driver on duty . at date and between times stated , taxi driver attends at locus to pick up suspect who has requested for taxi service . upon victim arrival , victim who is sat in the drivers seat with suspect through his open window and suspect is drunk . victim calls taxi base and is not to take fare ( suspect ) . victim suspect who punches victim to victims right cheek area causing no injury . suspect then opens the taxi door and ( suspects drink ) into vehicle causing no damage . suspect makes off on foot along road , leeds . police called . upon police arrival , area for suspect and taxi base refused to suspects details over the ."
478,Other Theft,"victim realises she has left phone in taxi , calls taxi company right away , company all of pick up from to drop off point , taxi driver makes off"
479,Violent Crime,"victim is taxi driver , between times stated , suspect enters taxi and begins , says to taxi driver that he wants his driver number and other details as he what his are and they all come over taking . victim this to be racist . suspect then refuses to exit taxi and is eventually taken to train station where he is by police ."
480,Other Theft,aggrieved is a taxi driver between times stated he is flagged down by a male request to take male to petrol station to . male gets back in taxi to be taken to . male then alights taxi without paying .
481,Criminal Damage,aggrieved party is a taxi driver working in leeds city centre . between stated times the suspect approaches the aggrieved person and asks to be taken home . the victim asks for payment in to which the suspect takes offence . the suspect during a verbal grabs the nearside mirror of the victims vehicle and uses to damage the same . victim reports the matter to police who are nearby . suspect arrested from the scene .
482,Other Theft,"suspect taxi to go from at locus to complainant taxi driver asks for cash up front , and as complainant to change for a pound note that has not been , suspect the note from complainant 's hand , and makes off with complainant 's cash ."
483,Violent Crime,this incident has on the the on . the taxi driver picked up a fare of one female and two males . the female party did not know the males but was just the journey . the male party sat in the front the . the driver pulled over and the suspect has got out gone to the drivers side pulled the out from the seat then punched him causing him to fall to the floor . the suspect has then kicked the victim . injuries caused are swelling to his left eye .
484,Robbery,complainant is a taxi driver on duty . complainant collects suspect 1 and suspect suspect 1 gets into rear of vehicle and suspect 2 gets into front passenger seat . a dispute ensues over money paid to victim for fare and suspects money back . victim refuses and suspects at . suspect 2 takes hold of the causing the vehicle to in road and come to a stop . suspect 1 takes the keys from the of the vehicle and punches the complainant to his right eye causing an injury . police are called . suspects arrested .
485,Violent Crime,"complainant is a private hire taxi driver who collects suspect and for . an over paid to the driver . the vehicle is , suspect grabs the of the car and pulls it with . the complainant on the so he did n't the car . car in on the road ."
486,Other Theft,"victim is taxi driver and drops off male at an address . male states he will go and get cash and pay but does not return and makes off making no attempt to pay ,"
487,Theft From Motor Vehicle,"complainant is taxi driver who collects the suspect from town . on this fare complainant takes payment up front and transports the suspect to location requested , a street with no address . suspect demands money back which is refused from complainant . complainant leaves taxi as suspect will him as he is agitated . suspect removes property from front of vehicle and makes off into the ."
488,Other Theft,between times stated taxi driver collects a fare of people from taxi office in city centre before taking them in to a residential area . after several different ask driver to stop at shop to use a cash point . male from rear seat gets out walks back to vehicle it no front seat passenger then asks to be taken to nearby town ( ) in order to use cash point and route a female passenger asks driver to stop at at which point all passengers then alight and run seat tells comp he 's not getting any money before driver . male then out walks around to drivers door opens it and asks driver for refuses and male walks not made .
489,Robbery,"comp is a taxi driver for amber cars and collects suspect from an address in harehills . suspect requests to be taken to road , . comp drives to and is by suspect to a different area and onto . comp becomes of suspect and drives back onto drive . between times stated suspect a small knife , black in from inside his . suspect this towards comp and demands from him . comp grabs suspects and suspect then assaults comp who punches suspect in . suspect then makes off on foot back up towards the on . comp realises his mouth is and has on . comp then drives away and contacts police ."
490,Other Theft,taxi service has been used by suspect who has then got out of the vehicle at a petrol station at locus and away without payment . he has been followed by the taxi driver ( aggrieved ) but continued to refuse payment until he was no in .
491,Other Theft,suspect/s have been picked up by taxi driver . taxi driver journey with suspect/s . suspect/s exit taxi car and runs away from taxi making no attempt to pay for fayre
492,Other Theft,"suspect refuses to pay taxi driver for service , making off from scene in direction towards train station ."
493,Violent Crime,"victim is a taxi driver who drives a black white taxi . at the times stated , the victim drops suspect and his friend off , however , suspect then wants to go to a different location . victim requests payment in , suspect refuses , he then punches victim in the lip before the taxi and walking away from the taxi . victim takes of suspect and his friend , contacts the police . as a of the assault , victim a cut to lip ."
494,Other Theft,"victim gets in taxi at home address , is taken to the centre of leeds where he believes he leaves his mobile on seat . suspect is taxi driver who remove 's phone and turns it off and does not return same . he makes off from scene in taxi ."
495,Robbery,"between times and dates stated the victim , who was heavily , the suspects at a taxi rank in leeds city centre . they all to a taxi to the cost . the suspects the taxi driver to the park area of the city . the male suspect is sat in the front passenger seat , with the victim sat behind him and the female suspect sat behind the driver . the taxi pulls up at the location requested by the suspects and the male suspect gets out of the car . the female states she did not to get out of the taxi via the door to her and asked the victim to get out of the car so she could exit via the near side rear door , next to where he was sat and the victim . once out of the car , the female the door and the male suspect takes hold of the victim in a from behind and the female suspect through the victims the victims mobile phone . the suspects then make off on foot and into a nearby set of flats , via a door and away from the victim . the taxi driver also left the scene whilst this was ."
496,Criminal Damage,"victim is taxi driver who picks up suspects . on arrival at destination , he asks them for the fare . they to pay and get out of the car . due to of fare and to , driver attempts to set off . whilst the vehicle , suspects the car and kick it repeatedly causing damage , while shouting at him , the paki and paki bastard . suspects run off down ."
497,Criminal Damage,victim is a taxi driver who works for a company in leeds . between times stated driver picks up three males who ask to go to a local food place . inside the males begin an argument with females unknown and return to the taxi . one females runs after the males and pulls on the rear nearside window of the taxi causing the to break . taxi drives off to destination . on arrival males state they need and get out at a petrol station . upon leaving all the males run off in direction .
498,Violent Crime,victim is a taxi driver who has picked up suspect to take her to a location . victim has become regarding where she wants to go so the victim has stated that he will drop her off at a petrol station nearby . the suspect has then to call the victim a bastard∂® and has to kick the passenger door causing damage . the victim has then got out of the taxi and the victim has to get the suspect away from the vehicle . the suspect has then in the victims face .
499,Violent Crime,"victim leaves phone in taxi , rings phone and taxi driver after . as caller with taxi driver he demands money before returning phone as he says fare was not paid . into car for her phone and taxi driver her arm in the window and begins to victim along the road some before suspect then his into victims causing her to go and fall to the floor . suspect then drives off leaving victim on the road ."
500,Criminal Damage,victim is taxi driver who is parked on waiting for fare . at time stated suspect gets into victim∂®s vehicle with three other witnesses . argument ensues over payment of fare . victims asks suspect and to leave . in doing so suspect kicks nearside wing mirror causing it to break . suspect makes off
501,Other Theft,complainant leaves large bag his in rear of taxi . taxi driver has not handed it in .
502,Other Theft,complainant got a taxi from leeds city centre to the petrol station . left his his wallet in the front seat of the taxi saying he was going to get some money . as as caller got out of the vehicle taxi driver made off at with complainants and wallet .
503,Other Theft,locus is road with residential . victim is taxi driver and suspects are a fare . victim picks up fare from and to locus . when at locus suspects state they will collect from address . suspects go into address and do not . victim knocks on door and female window and states the males have the property via the back door . victim calls the police and then returns home to bradford .
504,Other Theft,"complainant is taxi driver and between stated times and date picks up a male from address and drives the customer to in leeds city centre , male then alights the vehicle without paying taxi fare"
505,Violent Crime,"on date and between times , victim who is taxi driver attends location to collect customer . suspect arrives and is aggressive before getting into the victims car where he then continues to be verbally aggressive so victim refuses to take suspect . suspect then gets out of the car , kicks inside of rear nearside door causing damage before victim 3 times with a whilst shouting paki bastard∂® several times . victim then kick rear of the car causing further damage before making good escape on foot ."
506,Other Theft,"aggrieved is a taxi driver who picks suspect up at road suspect then request he be taken to drive , upon arriving at locus suspect states he has no money on him and he will go into address to get fare . suspect agrees to leave his with driver which he will collect upon fare . waits 15 then knocks at door no . i have contacted amber cars who the aggrieved works they have suspect to no ."
507,Violent Crime,"victim is a taxi driver for a hackney cab in leeds city centre working a night . between times stated taxi driver picks up two suspects on boar lane , just near to mcdonalds . suspects ask to be dropped at , , leeds . whilst in suspects become verbally abusive and taxi driver asks them to down . suspects then punch around taxi driver , driver turns taxi around and informs suspects that he is to police station . suspect begin to repeatedly punch the and calling victim a bastard∂® and you . to , which on driver and his , causing it to . suspects begin to punch taxi drivers left arm . one suspect reaches over from the back seat and tries to place into in an attempt for taxi driver to stop . taxi comes to a stop by the in and suspects make off ."
508,Robbery,victim is taxi driver who is working at the time of offence . victim collects suspect who has taxi . victim drives suspect to requested location . upon taxi suspect pulls a large knife from his and it towards victim stating give me what you got . suspect hands over cash and suspect exits taxi and makes off on foot through . victim calls his taxi office who in call police .
509,Violent Crime,"victim is a taxi driver . between times stated victim picks up suspect on drive and takes him to road , morley to shop . suspect becomes verbally abusive as he the victim of the meter so it up the fare and tells him he pay and to off , calls him a and repeatedly tells him him up , him by saying , are you going to do about it ? ∂® . this causes the victim , and . upon arrival at locus the suspect gets out of taxi , taxi driver down nearside window to ask for money . suspect says in , off you paki bastard , what are you doing in this ? ∂® at this point a friend of suspect approaches the driver∂®s door , whilst doing this the suspect is still shouting abuse and the victim the taxi doors and drives away . both males then make off on foot down an unknown left hand street after the shop having not paid the fare ."
510,Violent Crime,"the victim is a taxi driver who has attended at locus to pick up a fare . the victim is approached by two unknown males , the victim asked for the fare to paid up front and prior to the journey . unknown males have refused to this and an argument has during which the victim is punched to the face by one male causing the victims nose to and causing and to the victim . unknown males make off towards locus but are not seen to enter ."
511,Violent Crime,"victim and suspect are a taxi driver and passenger . at time , date and location stated the two become involved in verbal dispute regarding price of journey . during it is that the suspect calls the victim a paki bastard . police are called whilst all parties at the scene ."
512,Other Theft,complainant is a taxi driver he has collected a fair from the and made three drops . the customer has from the taxi without paying for the taxi .
513,Other Theft,victim is a taxi driver who takes a fare from leeds city centre to address . the fare is . the suspect says he is going into the house for money but does not return to pay and is contact with the taxi company .
514,Violent Crime,"victim is a taxi driver and has collected suspects from , leeds , at on the . suspects have requested to be taken to but not a location . journey begins and suspects are with other and are in good . one of the suspects , a white female with black has the driver to stop outside . female suspect exits the vehicle and enters the property , several minutes later suspects exits the property and sits back inside the taxi and the victim to drive to a nearby off licence located on the road . victim drives suspects to the off licence where the female suspect exits the vehicle and attends at the off licence . later the female suspect returns to the taxi with two . victim taxi into a nearby as he to find out where the group to . the suspects in the white female suspect with black and an male suspect around start to racially abuse the driver calling him a paki bastard∂® and to that . the other 5 are involved in the abuse but the victim notices the two suspects more so . victim then calls the taxi company who him that he should call the police , they state they will also call the police and another driver to him . on this the male suspect with an open hand the victim on the left shoulder . other suspects then up in the back of the vehicle and start shouting at the victim . further victim exits vehicle and calls the police . as leaves the he has his car keys with him , this causes the taxi to the suspects from leaving . victim then sees the same suspect who assaulted him over to the front drivers seat and a black bag which was located in the side of the drivers side door this bag in change . suspects attempt to leave the vehicle by to open the door are . suspects then to open passenger side back window and out of the taxi . the door and window in the . suspects then leave without making any attempt to pay for the by the taxi driver . suspects then make off in unknown direction ."
515,Other Theft,taxi driver has taken phone off aggrieved as for a taxi journey as he was not to pay . aggrieved has to contact the driver to pay him but has not back . aggrieved has left the taxi driver to return the phone by which has now without any contact . aggrieved the phone stolen .
516,Other Theft,complainant alights taxi outside home address and hands phone to driver to hold whilst he goes inside for taxi fare . whilst complainant inside house taxi driver drives off with complainants mobile phone .
517,Criminal Damage,victim is taxi driver fare when requested to stop at locus . suspect then exits vehicle and kicks vehicle causing damage . victim down officers who incident with .
518,Other Theft,between times stated aggrieved is in taxi when they place their phone down leaving the inside vehicle . suspect who is taxi driver notices this and makes off with same - aggrieved notices once taxi leaves .
519,Criminal Damage,"vehicle is a taxi . two females and two males are picked up at , seacroft and ask to be taken to . route , the four are verbally and the male in the front passenger seat asked the taxi driver to pull over into a petrol station so he can . on from the vehicle he the front passenger door , the three passengers in the rear alight , still all . the male from the front seat then uses unknown to smash the rear windscreen of the vehicle . all four then run away from the scene , direction unknown ."
520,Theft From Motor Vehicle,complainant is taxi driver and places his mobile phone in centre console . between times stated unknown travelling in vehicle as fare paying passenger remove mobile phone from console and make off with same unseen .
521,Theft From Motor Vehicle,comp is a taxi driver who was working at the time of the offence . phone was in the in the centre console of the vehicle . between times stated phone is from the centre console of the vehicle by a customer . unseen and by the comp .
522,Violent Crime,"complainant is a taxi driver who picks up a group of people . three females and two males , one of the males being the suspect . at time stated , the complainant drops them off at locus , where some of the group argue who is getting out and who is not . the suspect becomes aggressive and once outside the taxi begins to punch the complainants taxi window . the complainant has told him to stop it as it is his where the suspect has punched the complainant , who is still sat in his taxi , through the open window or times . one of the other males pulls the suspect away . complainant has no injuries ."
523,Other Theft,"taxi driver picks up 2 females . the call is made to private hire by a female who asks to go to leeds . the taxi takes them to and on arrival at the property female 1 gets out of the car to go inside the property for cash to pay . female 2 is asked to in the car by driver whilst the money is found . never returns . a call from and asks the taxi driver if she can go in and get the money from . taxi driver asks her to leave mobile as security but is then hit by verbal abuse from . taxi driver tells her he will take her to the police station if they pay . with further verbal abuse tells him to go there . whilst on route calls . taxi driver say to on phone , do this to . then calls police and puts call on phone . call tells taxi driver to get and give them time to get money . details of taxi company are given to the mobile number for driver . no contact is made from or 2 ."
524,Other Theft,"during stated times taxi driver picks up 4 males white males from hotel in leeds city centre , males are taken to as have stated they need to get money out of atm males alight vehicle and go to cash male states he also has to get money , taxi driver asks that one in the car , after this been said male then also alights vehicle and all 4 males run away from taxi during stated times taxi driver picks up 4 males white males from hotel in leeds city centre , males are taken to as have stated they need to get money out of atm males alight vehicle and go to cash male states he also has to get money , taxi driver asks that one in the car , after this been said male then also alights vehicle and all 4 males run away from taxi"
525,Criminal Damage,the victim is taxi driver working . victim picks up suspect and two outside in city centre and takes to locus as fare . when he pulls up other two exit vehicle and argument starts over fare between suspect and victim . suspect then exits vehicle and punches window causing glass to break before making off into nearby
526,Other Theft,"victim is a taxi driver and on time and date shown he has picked up two unknown suspects and taken them to location where suspects state they have money to pay the fare . victim to drive suspects to local police station , suspect one who is sat in the front passenger seat has then punched victim to left arm three times causing and grabbed hold of the he to get out of the car . victim continues to drive along when suspect one places his hand in victims pocket to his phone that he had given to victim as security and also in . both males the vehicle making off on foot in unknown direction ."
527,Violent Crime,"victim is a taxi driver and on time and date shown he has picked up two unknown suspects and taken them to location where suspects state they have money to pay the fare . victim to drive suspects to local police station , suspect one who is sat in the front passenger seat has then punched victim to left arm three times causing and grabbed hold of the he to get out of the car . victim continues to drive along when suspect one places his hand in victims pocket to his phone that he had given to victim as security and also in . both males the vehicle making off on foot in unknown direction ."
528,Theft From Motor Vehicle,"complainant is a taxi driver and is on duty when requested to collect a fare . taxi driver picks up two males , one sits in rear and the other sits in front passenger seat . suspect takes complainants phone which has been in a next to . victim drops on lane in armley and goes to next call . victim goes to get his mobile phone and it has been stolen . victim had phone prior to the fare ."
529,Other Theft,"victim is a taxi driver and on time and date shown he has picked up two unknown suspects and taken them to location where suspects state they have money to pay the fare . victim to drive suspects to local police station , suspect one who is sat in the front passenger seat has then punched victim to left arm three times causing and grabbed hold of the he to get out of the car . victim continues to drive along when suspect one places his hand in victims pocket to his phone that he had given to victim as security and also in . both males the vehicle making off on foot in unknown direction ."
530,Criminal Damage,suspect is customer in private hire vehicle with a female . suspect starts with female taxi stopped at locus and suspect gets out of vehicle and kicks wing mirror of taxi drivers vehicle . taxi driver leaves suspect in street drives away and contacts police .
531,Violent Crime,victim is a taxi driver who attended a pre booked between the times and address stated . 5 males leave the address and enter the vehicle . victim due to the number refuses to take the males which in one of them him . all 5 males then make good escape on foot .
532,Other Theft,"between times stated suspect has been driven to location by taxi driver and has the vehicle at the location , without making payment of the fare ."
533,Other Theft,"taxi driver picks up fare on boar lane leeds and takes suspect to requested location , he alights from , goes into locus , does not come back out , taxi driver waits a while , rings suspect on his mobile and suspects says he is in , taxi driver reports incident to police , suspect is , but only , left the suspect that the police are now involved in the make off for ."
534,Other Theft,taxi picked up a booked fare at this . he picked up three males . the males then asked the taxi driver to drop them off at the park and . they got out of the taxi and off without paying . the taxi driver to up with one of them and grabbed his hand taking what a house from the suspect before he off also .
535,Other Theft,complainant is a taxi driver at work . at time stated suspect having into an by way of travelling in a taxi to a destination has made off from the vehicle without payment upon the destination . suspect has nearby as out by the complainant and has been .
536,Violent Crime,victim approaches taxi and requests a taxi . taxi driver states he has to one . verbal altercation ensues resulting in taxi driver vehicle approaches victim in and pushes victim to one side . no injuries victim approaches taxi and requests a taxi . taxi driver states he has to one . verbal altercation ensues resulting in taxi driver vehicle approaches victim in and pushes victim to one side . no injuries
537,Violent Crime,"victim is taxi driver working at time of , between times stated victim is sat in his taxi when suspect into back seat , a large knife which he at the victim and says drive which he several times , victim in fear for his safety alights from his vehicle and calls police , suspect also alights from vehicle and makes off on foot ."
538,Other Theft,complainant leaves his mobile phone for a few minutes in the back of taxi . he realises and sees the taxi driving off . he goes to local shop and they ring within a few minutes but the phone is turned off . the complainant is that the phone was in the car as he was sat on it . he has to the taxi firm who have to the taxi driver who he has had his car and no phone was found .
539,Other Theft,"between times and date stated the victim who is a taxi driver has attended at address , as he he contacted who he believed to be the customer on and a short time after the suspects from another address . the victim has then driven them to the leeds area and dropped them off at lane in , the suspect has left the vehicle and as the second suspect to exit the vehicle the victim has stopped him and requested payment for the he has . the second suspect has stated that the first suspect would pay and has left the vehicle , the victim not this has also left the vehicle and stopped the second suspect from leaving again demanding payment when the first suspect and is seen by the victim to be in of a knife . the first suspect is in of the knife there is no demands made and no threats . the victim on the knife contacts the police and returns to his vehicle with both suspects making off on foot"
540,Violent Crime,"between times and date stated the victim who is a taxi driver has attended at address , as he he contacted who he believed to be the customer on and a short time after the suspects from another address . the victim has then driven them to the leeds area and dropped them off at lane in , the suspect has left the vehicle and as the second suspect to exit the vehicle the victim has stopped him and requested payment for the he has . the second suspect has stated that the first suspect would pay and has left the vehicle , the victim not this has also left the vehicle and stopped the second suspect from leaving again demanding payment when the first suspect and is seen by the victim to be in of a knife . the first suspect is in of the knife there is no demands made and no threats . the victim on the knife contacts the police and returns to his vehicle with both suspects making off on foot"
541,Criminal Damage,victim is a taxi driver who picks up the suspect and two friends from town . suspect wants to go to a cash point but the victim about this so takes the suspect and his friends to a cash point of direction from their home address . the suspect and his friends are not about this so they get into a verbal dispute at which point the taxi driver requests from . the victim then pulls over followed by his behind . the suspect then gets out of the car and hits the causing the glass to smash . suspects are then followed by driver until police arrive .
542,Other Theft,"victim is a taxi driver for cars . he collects a fare from , leeds and begins to drive to beeston , the address given was avenue . when victim arrives at beeston , the fare states she only has and can not pay the fare . victim the suspect to but the female makes off from the taxi ."
543,Violent Crime,victim and his and get in a taxi at their home address to take to . on arriving at the and get out of the taxi and victim waits in the taxi . victim is off his and suspect who is the taxi driver turns round and pushes the victim in his right shoulder and tells him to get out of the taxi . taxi then drives off .
544,Other Theft,"the complainant is a taxi driver working for . on the date stated in the the complainant has picked up the suspect up from the bradford centre , and has been requested to the suspect to leeds station , they at the destination when the complainant requested the ∂ú20 fair , the suspect handed the complainant his and said be back in a , hold and was not to be seen again ."
545,Other Theft,comp is a taxi driver who picks up pre-booked fare from an address . female passenger requests to go to an address in and states she has money at home address to pay fare . upon arrival female is to gain to home address and taxi waiting . taxi is to wait any so female passenger goes into a she will call into the taxi office to pay the fare . the fare has not been paid to date .
546,Other Theft,"complainant is taxi driver who has picked up customers from hospital and is taking them to drop off point . once there , the male suspect gets out of the taxi and states he will go and get the money . the two female suspects then get out . with from the male , the females leave the taxi and walk off . male refuses to pay fare and walks away ."
547,Other Theft,"on the date and between times the complainant who is a taxi driver picks up a male from the taxi rank in the town centre in and him to place , leeds . the male exits the taxi and goes into the address without paying the fare of ∂ú20"
548,Other Theft,complainant has left their phone on the back seat of the taxi . taxi driver has then driven off in the vehicle . when complainant has called the phone the driver has and said that he can not return the phone as he is going to bradford . he did state that he would return the phone at a later time . complainant does not this will . no details of .
549,Other Theft,"at times stated complainant gets into a taxi and to pick up her on same , a time later she realises she has left her phone in the taxi and rings the taxi office to report same . are with no gain and complainant later has to on the phone which the taxi driver has made off with same ."
550,Other Theft,aggrieved person is a taxi driver that a fare to locus . on arrival at the destination the passenger told the aggrieved that she had no money to pay the fare but would return with the payment . the passenger made off and did not to pay the fare .
551,Other Theft,"suspect is passenger in taxi , and exits taxi . taxi driver is out back of taxi when suspect gets in front of taxi and removes from centre console and leaves . taxi driver notices phone is missing and returns to home address . suspect comes out of address and returns the phone ."
552,Other Theft,suspect is collected by complainant who is a taxi driver and taken home . suspect goes into house to get money and return but never comes back and refuses to the door .
553,Fraud & Forgery,"complainant is a private hire taxi driver and at the time and date stated he picks up 3 males from hospital in order to go to avenue , when they approach locus one male states that he will go to the and get some money , all the males alight from the taxi approach the cash machine and then run off failing to pay for fare"
554,Other Theft,complainant is taxi driver who picks female and two males up from . he then drives them first to train station then female alights in . males then request to be taken to leeds train station then males give caller to outside of leeds . males then alight stating they will go to cash machine and return . males never return .
555,Violent Crime,"victim is a taxi driver attending the location to collect a fare . time , date , location stated victim stops at location to collect the suspect , agreed by the taxi . suspect attempts to get into taxi with a , the victim refuses to suspect as the has not been pre . the suspect shouts fucking paki bastard fuck off to your own , the suspect then picks up a and the victim , to him with it . the victim for his safety and gets into his vehicle . suspect is arrested by officers"
556,Other Theft,the complainant is a taxi driver and was working at the time of the offence . at time stated the comp drops the suspects off at locus . he requests they pay the fare of . the suspects only pay the comp . the male suspect shouts at the comp do you a and the female suspect shouts fucking bastard and at the comp . the suspects go into an address and do not pay the taxi fare .
557,Other Theft,"complainant is a private hire taxi driver and collects customer following pre booking from locus and takes to way , in , suspect requests complainant to wait for him but does not return following minutes waiting time ."
558,Other Theft,"victim who is a taxi driver picks up a fare from outside the , road , suspect who has 2 with her asks to be taken to hill then into leeds city centre . they get out and female states she will be back after in . victim waits for but the suspect does not return ."
559,Violent Crime,was from a taxi driver that the he had in his taxi that he was to had a in view off the driver and the was making to who got with him . as the taxi was at the by the the left the taxi with the knife in his right hand first towards the . the suspect was arrested for the offence .
560,Other Theft,"the complainant is a taxi driver who between times stated , picks up suspect on a pre-booked fare from residential address . complainant takes suspect to local town where suspect states she will go get some money from a nearby house . suspect knocks on door of nearby house , then runs off from complainant without paying and out of ."
561,Violent Crime,"victim is a taxi driver who is suspect from locus . victims informs him that payment has been agreed on , not . when victim asks for the money , the suspect tells him to fuck off before the victims from the mirror . victim also takes hold of it and as they pull on it , the victim minor to his hands . the suspect then go and then grabs the victims from causing minor damage to the . the suspect then gets out of the car and makes off on foot . victim calls police and follows but of him ."
562,Other Theft,suspect has been picked up by taxi driver . taxi driver journey with suspect . suspect exit taxi and runs away from taxi making no attempt to pay for fare
563,Other Theft,suspect is believed to be taxi driver who was property to but property was taken and not at the centre
564,Other Theft,comp is a taxi driver and picks up pre-booked fare . suspect request to go to several different location before being dropped at locus . suspect makes off without paying
565,Other Theft,complainant is taxi driver who picks up fare outside an address in after on . the fare is dropped off at ' hospital and the suspect asks the driver to wait . after 2 the suspect fails to return and pay the fare . further attempts are made to contact the suspect by phone which are .
566,Violent Crime,victim is hackney taxi driver who his as . victim has to use lane . complainant is making way to work when he uses lane . a pulls out from stop and does not use . lane and victim pulls . suspect and victim stops and gets out of car . a verbal argument and suspect makes abusive ' with at victim and says ' victim is and believes this to be racially . suspect drives off and victim attends to report matter .
567,Other Theft,between times stated the victim who is a taxi driver picks up female suspect from a address to leeds . on arrival in leeds victim asks for fayre . whilst doing so female passenger into victims and makes off making no attempt to pay for the service .
568,Other Theft,"two were from to by same customer for people . first taxi arrives , people alight and do not pay the fare . second taxi is told by that this has . taxi driver tells passengers that the fare needs to be paid before leaving the taxi . two rear passengers alight , leaving female front seat passenger in taxi . and female passenger becomes agitated and starts shouting at taxi driver then front passenger window before . continues shouting in the street causing other to come out into street . in fear , taxi driver leaves the area ."
569,Other Theft,"aggrieved is a taxi driver for . at attends at 1 street , beeston , leeds to pick up a fare the name , fare taken to , leeds and went into address but return to pay the fare . aggrieved on the door but female refused to . fare waiting time . suspect as a , under no further"
570,Other Theft,"suspect in vehicle , when leaving states to taxi driver he will be 15 minutes , male never returned to pay the fare and left area ."
571,Criminal Damage,the victim is a taxi driver and the vehicle is a taxi . between times stated the victim picked up 3 males the male suspect . the victim drops the suspect at locus and two other males inside the vehicle . the victim drives off and stops nearby to the other males to exit the vehicle . the suspect then returns and on the of the vehicle kicking the windscreen causing damage . all 3 males make off on foot and out of .
572,Other Theft,"aggrieved picks up fare of two and from street leeds , the male asked taxi driver to stop near the bank , he is asked to wait then two more with the fare , taxi driver states he can not take , an argument ensues female kicks the car door no damage caused , driver his doors but still in boot of , eventually enough for taxi driver to open boot and is , still driver refuses to take all , just the fare , male again and states he is not going to pay fare , driver drives away and reports the incident an later at ."
573,Criminal Damage,the victim is a taxi driver and attends at locus which is a in order to collect a customer . the victim outside the to the where the suspect is . the suspect then approaches the victims vehicle and shouts and kicks the drivers door and wing mirror causing damage . the suspect then makes off on foot .
574,Other Theft,"at the time and date stated , complainant is a taxi driver and picks up three males from , he takes the fare to beeston and then in to leeds city centre and drops of at locus . males alight from the taxi and to pay for fare . offence in residential area ."
575,Violent Crime,"taken from , at time and date shown taxi driver drops suspect off at locus , then suspect assaults victim with bottle causing minor injury to right hand , suspect then makes off"
576,Other Theft,"taxi driver attends to collect fare from their home address . suspect , female with two , get into taxi . taken to to drop two off and then female asks to go back to home address . at the females home address female asks taxi to wait . female goes into her property around the back and then returns asking to be taken to another location . female is taken to another location and asks the taxi driver to wait again . on her return back to the taxi asks to be taken home again . female alights vehicle and goes around the back of address and fails to return to make payment ."
577,Other Theft,report from taxi driver that passenger has made off paying fare and for
578,Violent Crime,between times stated the victim who is a taxi driver picks up female suspect from a address to leeds . on arrival in leeds female passenger into victims . suspect has no right or . victim has to his . suspect makes of without payment
579,Criminal Damage,complainant is a taxi driver working within leeds city centre . between times stated complainant is driving on lane back in to leeds city centre . suspect is in the middle of the road and complainant using his to suspect know of his . whilst stopped at by the public house suspect is verbally aggressive towards complainant and punches of a taxi causing minor damage . suspect makes off on and complainant contacts police .
580,Other Theft,"taxi driver collects female from home address after she has booked a taxi from his base using her name and phone number . female is taken into leeds city centre where she attends cash on and is told she needs . taxi driver takes her back to her home address and then back to cash and she says she will get the money for the fare of and return and pay him . she then does not return with the money . taxi driver has her on several and also her , but she is not ."
581,Other Theft,"complainant is a taxi driver and picks up 3 males at the park hotel , lane , , bradford . 1 of the males is dropped off at , bradford along the way . the complainant then drives the male to lane where the male rings and tells them he needs . then throws some money down to the suspect from a window at one of the . the complainant then takes the other 2 males to some flats on , leeds where the suspect 1 gets out of the taxi , saying he is going to get some money . he gets out of the vehicle and goes into the flats . 5 minutes later , suspect 2 tells the complainant that he is going to go and see where his friend has got to and also goes into the flats . of the males made any attempt to pay the fare . the complainant both the contact for the suspect , given when booking the taxi but there was no ."
582,Other Theft,"complainant took a taxi from at centre at to her home address . when they pulled up outside her home address the taxi driver his hand into her outside pocket and took a pound note and out , complainant told him to give her it back and he did ."
583,Criminal Damage,"victim involved in road incident with taxi driver . both parties stop , victim is in by another taxi driver at scene . ensues over driving , first driving kicks victims car door causing damage ."
584,Violent Crime,victim is taxi driver - between times stated 4 unknown damage to front passenger door of victims vehicle by using a - victim suspects and is to the chest causing no injuries
585,Other Theft,victim places in the boot of taxi . victim exits taxi and taxi driver drives away with same still in . taxi driver makes off with same making no attempt to return to .
586,Other Theft,"victim is a taxi driver and picks up a fare two females one male from , harehills who ask to be taken to . male and one female get out and the suspect who is in the front asks to be taken to , she then gets out and goes into number saying she to get some money . she went in and out of the house a of times and back out saying there was with any money and he would have to ring her and with that went back in ."
587,Violent Crime,"complainant who is a taxi driver picks up 3 black males from an address and takes to several within the leeds area , suspects pay the victim 1 ∂ú20 note which the victim places in his . just before suspects and victim get to the destination the suspect 1 in the front passenger seat reaches into the victims pocket and removes the ∂ú20 note without from the victim . suspect 1 then pulls on the and all 3 alight the vehicle . when the vehicle , the victim makes no attempt to stop them but for no suspect 1 to kick out at the victim hitting him on the arm causing no injuries . all 3 then run off on foot ."
